t,segment,x,y,theta,varphi,v,omega_s,xd,yd,xdd,ydd,xddd,yddd,kappa
4.656000000000000227e+01,4.000000000000000000e+00,6.378351403870566871e-01,2.852248888863340159e+00,-4.506863833738175007e-01,-1.754766712534701623e-01,1.253762736749348683e-01,-8.963594304316984882e-03,1.128572442671889747e-01,-5.461183403831267047e-02,-6.201367504635734405e-03,-9.034824273178341386e-03,-2.223181822633834605e-03,9.224390830877742323e-04,-6.892137267608149376e-01
4.658000000000000540e+01,4.000000000000000000e+00,6.400910420418981506e-01,2.851154846447642832e+00,-4.524152785705266577e-01,-1.756563900233986120e-01,1.253430471026223958e-01,-9.007683799491102497e-03,1.127327737302070143e-01,-5.479234603541050658e-02,-6.245613400987910097e-03,-9.016375497692043911e-03,-2.201344122769080536e-03,9.224207640021326845e-04,-6.899343261975763308e-01
4.660000000000000142e+01,4.000000000000000000e+00,6.423444454660647285e-01,2.850057197481698168e+00,-4.541455220933122150e-01,-1.758369544846613564e-01,1.253092422540584838e-01,-9.048155196545240586e-03,1.126074226682415441e-01,-5.497248906773564980e-02,-6.289418736437891316e-03,-8.997928149202905762e-03,-2.179126459759110970e-03,9.222964578827938216e-04,-6.906583628110556372e-01
4.662000000000000455e+01,4.000000000000000000e+00,6.445953331376739204e-01,2.848955949344376126e+00,-4.558771132896326517e-01,-1.760182917828689853e-01,1.252748677138220135e-01,-9.084959356068324221e-03,1.124811999682107239e-01,-5.515226318499535235e-02,-6.332775955678099714e-03,-8.979484342914567652e-03,-2.156533244869319674e-03,9.220666217519948643e-04,-6.913855451418683407e-01
4.664000000000000057e+01,4.000000000000000000e+00,6.468436877140872898e-01,2.847851109413129134e+00,-4.576100508598157646e-01,-1.762003280871443367e-01,1.252399322075174182e-01,-9.118047773834075595e-03,1.123541146672503016e-01,-5.533166847910816338e-02,-6.375677592570199240e-03,-8.961046184691125530e-03,-2.133568983756584190e-03,9.217317325404962135e-04,-6.921155777431947653e-01
4.666000000000000369e+01,4.000000000000000000e+00,6.490894920348954100e-01,2.846742685063149647e+00,-4.593443328501794487e-01,-1.763829886031374194e-01,1.252044445995796618e-01,-9.147372612113674820e-03,1.122261759509114026e-01,-5.551070508401319964e-02,-6.418116272032891624e-03,-8.942615770658983790e-03,-2.110238276469284489e-03,9.212922870875828608e-04,-6.928481612307427762e-01
4.668000000000000682e+01,4.000000000000000000e+00,6.513327291248699469e-01,2.845630683666533933e+00,-4.610799566463121835e-01,-1.765661975866761324e-01,1.251684138910397481e-01,-9.172886731866329579e-03,1.120973931513205152e-01,-5.568937317547141552e-02,-6.460084711929766493e-03,-8.924195186808668578e-03,-2.086545817447293862e-03,9.207488021410642791e-04,-6.935829923353377113e-01
4.670000000000000284e+01,4.000000000000000000e+00,6.535733821968738866e-01,2.844515112591446737e+00,-4.628169189665198302e-01,-1.767498783580697397e-01,1.251318492172515118e-01,-9.194543725806905363e-03,1.119677757453015066e-01,-5.586767297085889344e-02,-6.501575724957119398e-03,-8.905786508596679266e-03,-2.062496395521975882e-03,9.201018143572726885e-04,-6.943197639582107117e-01
4.672000000000000597e+01,4.000000000000000000e+00,6.558114346547384566e-01,2.843395979201290391e+00,-4.645552158554413502e-01,-1.769339533170812551e-01,1.250947598455799392e-01,-9.212297952349346453e-03,1.118373333524604607e-01,-5.604560472895221690e-02,-6.542582220531800198e-03,-8.887391800547286141e-03,-2.038094893916191346e-03,9.193518803010657667e-04,-6.950581652290563905e-01
4.674000000000000199e+01,4.000000000000000000e+00,6.580468700960987460e-01,2.842273290853879697e+00,-4.662948426778424915e-01,-1.771183439585881370e-01,1.250571551730506881e-01,-9.226104570423016710e-03,1.117060757332321158e-01,-5.622316874970576667e-02,-6.583097206679018078e-03,-8.869013115854388826e-03,-2.013346290244292201e-03,9.184995764458239384e-04,-6.957978815669448869e-01
4.676000000000000512e+01,4.000000000000000000e+00,6.602796723151900249e-01,2.841147054900620805e+00,-4.680357941125924404e-01,-1.773029708889486966e-01,1.250190447239616087e-01,-9.235919575158745704e-03,1.115740127868887904e-01,-5.640036537402123157e-02,-6.623113791920196003e-03,-8.850652495983326110e-03,-1.988255656512121980e-03,9.175454991734516763e-04,-6.965385947441606884e-01
4.678000000000000114e+01,4.000000000000000000e+00,6.625098253056040942e-01,2.840017278685693647e+00,-4.697780641468259910e-01,-1.774877538430892909e-01,1.249804381474563658e-01,-9.241699834439755928e-03,1.114411545495117978e-01,-5.657719498350896603e-02,-6.662625187160773135e-03,-8.832311970272723953e-03,-1.962828159117028810e-03,9.164902647743784769e-04,-6.972799829530381688e-01
